name,city,rating,rating_count,cost,cuisine
Aioli Bbq and Grill,"Kammanahalli/Kalyan Nagar,Bangalore",4.0,20,999.0,"Continental,Italian"
Karim's Original From Jama Masjid Delhi-6,"Marathahalli,Bangalore",3.4,100,999.0,"Indian,Kebabs"
46 Ounces Brewgarden,"Electronic City,Bangalore",4.0,20,999.0,"North Indian,Tandoor"
Amys Cafe,"Manikonda,Hyderabad",4.1,100,999.0,"Desserts,Chinese"
FOX IN THE FIELD,"Whitefield,Bangalore",4.3,20,950.0,"Indian,Chinese"
Konnichiwa - Sushi & New Age Japanese,Bikaner,4.0,50,950.0,"Japanese,Sushi"
Piazza pizza by Little Italy,"Ramapuram,Chennai",3.9,50,950.0,"Pizzas,Salads"
Healthyway by Aryan,"Banjara Hills,Hyderabad",3.5,20,950.0,Indian
Soul Fry,"Bandra West,Mumbai",4.5,50,950.0,"Goan,Seafood"
East India Company,"Sitabuldi,Nagpur",4.3,50,950.0,"Chinese,North Indian"
Angithi By Mirch Masala,"Vastrapur,Ahmedabad",4.3,20,900.0,"Indian,North Indian"
Mainland China,"Vastrapur,Ahmedabad",4.2,100,900.0,"Chinese,Oriental"
Cream Centre,"Vastrapur,Ahmedabad",4.3,20,900.0,"Indian,Italian"
24/7 All Day Dining - The Metropole Hotel,"Naranpura,Ahmedabad",4.5,20,900.0,"North Indian,Chinese"
SHEGAN BAR+KITCHEN,"Geddalahalli,Bangalore",4.1,50,900.0,"North Indian,Asian"
Dhaba Estd 1986 Delhi,"Koramangala,Bangalore",4.0,100,900.0,"North Indian,Kebabs"
Pasta Street,"Koramangala,Bangalore",4.2,100,900.0,"Italian,Pizzas"
Pasta Street,"JP Nagar,Bangalore",4.3,100,900.0,"Italian,Pastas"
Mamagoto,"HSR,Bangalore",4.1,100,900.0,"Chinese,Asian"
Bombay Brasserie,"HSR,Bangalore",4.1,20,900.0,"North Indian,Biryani"
Bombay Brasserie,"Arekere,Bangalore",4.1,50,900.0,"North Indian,Biryani"
"Oki Poki - Sushi, Dimsums & More","Indiranagar,Bangalore",4.9,20,900.0,"Chinese,Asian"
MiMi Takeout by Taiki,"Indiranagar,Bangalore",3.9,50,900.0,"Chinese,Asian"
Dhaba Estd 1986 Delhi,"Indiranagar,Bangalore",3.9,100,900.0,"Biryani,Hyderabadi"
Tandoori Taal,"Indiranagar,Bangalore",4.3,500,900.0,"North Indian,Biryani"
Pasta Street,"Indiranagar,Bangalore",4.3,100,900.0,"Italian,Pizzas"
Mamagoto,"Indiranagar,Bangalore",4.2,100,900.0,"Chinese,Asian"
Bombay Brasserie,"Indiranagar,Bangalore",4.3,50,900.0,"North Indian,Biryani"
The Farmhouse Kitchen and Bakery,"Whitefield,Bangalore",3.3,20,900.0,"European,American"
Bombay Brasserie,"Whitefield,Bangalore",4.0,50,900.0,"North Indian,Biryani"
The Local,"Kammanahalli/Kalyan Nagar,Bangalore",4.2,100,900.0,"American,Biryani"
Taaza Cake,"BTM,Bangalore",4.5,20,900.0,Bakery
Pasta Street,"Battarahalli,Bangalore",4.2,500,900.0,"Italian,Pizzas"
Punjab Grill,"Battarahalli,Bangalore",3.9,100,900.0,"North Indian,Punjabi"
MiMi Takeout by Taiki,"Sanjay Nagar, New BEL Road,Bangalore",3.1,20,900.0,"Chinese,Asian"
Mayura 1989,"Majestic,Bangalore",3.8,20,900.0,"Chinese,South Indian"
Hard Rock Cafe - Whitefield,"Kadugodi,Bangalore",3.6,50,900.0,"American,Continental"
Dhaba Estd 1986 Delhi,"Marathahalli,Bangalore",4.2,500,900.0,"Biryani,Hyderabadi"
Kudla Delight,"Rajarajeshwari Nagar,Bangalore",4.2,20,900.0,"Mangalorean,North Indian"
Foxtrot,"Kadubeesanahalli,Bangalore",4.1,20,900.0,"Continental,Chinese"
Trattoria by Toscano,"Jayanagar,Bangalore",3.9,50,900.0,"Italian,Pizzas"
Pasta Street,"Central Bangalore,Bangalore",4.4,100,900.0,"Italian,Pizzas"
Hard Rock Cafe Bengaluru,"Central Bangalore,Bangalore",4.3,50,900.0,"American,Continental"
Thai House,"Central Bangalore,Bangalore",4.3,100,900.0,Thai
Toast & Tonic,"Central Bangalore,Bangalore",4.4,20,900.0,"European,Continental"
Captain G's - Burger Company,Bikaner,3.7,20,900.0,"American,Continental"
Cafeteria & Co,Bikaner,3.6,20,900.0,"Continental,Italian"
OLLY,Bikaner,4.3,20,900.0,"Pizzas,European"
Dhaba Estd 1986 Delhi,Bikaner,3.8,20,900.0,"Biryani,Hyderabadi"
"Oki Poki - Sushi, Dimsums & More",Bikaner,5.0,20,900.0,"Japanese,Sushi"
Foxtrot,Bikaner,4.2,20,900.0,"Pizzas,Salads"
Sanyog,Central-goa,4.4,100,900.0,Indian
Morgans Place,Central-goa,3.4,20,900.0,"Continental,Italian"
Mamagoto,"South Chd,Chandigarh",4.4,20,900.0,"Chinese,Asian"
Chili's American Grill & Bar,"South Chd,Chandigarh",4.2,50,900.0,"American,Salads"
Mainland China,"South Chd,Chandigarh",4.1,50,900.0,"Chinese,Oriental"
Kaidi Kitchen,"Mylapore,Chennai",4.2,50,900.0,"North Indian,Chinese"
Habibi,"Annanagar,Chennai",3.9,50,900.0,"Arabian,Barbecue"
Zaitoon,"Annanagar,Chennai",4.3,5000,900.0,"Biryani,Juices"
Lyfe By Soul Garden Bistro,"Kilpauk,Chennai",4.1,100,900.0,"American,Continental"
Zaitoon,"Royapettah,Chennai",4.3,1000,900.0,"Arabian,Biryani"
Chili's American Grill & Bar,"Velachery,Chennai",3.8,100,900.0,"American,Salads"
MADHARAS - Global Veg Kitchen,"Velachery,Chennai",3.7,50,900.0,"South Indian,Tandoor"
Copper Chimney,"Nungambakkam,Chennai",4.4,50,900.0,"Indian,North Indian"
Bombay Brasserie,"Nungambakkam,Chennai",4.3,100,900.0,"North Indian,Biryani"
Dhaba Estd 1986 Delhi,"Nungambakkam,Chennai",4.3,100,900.0,"Biryani,Hyderabadi"
Goddy's,"Nungambakkam,Chennai",4.0,20,900.0,Continental
Va Pho,"Porur,Chennai",4.1,100,900.0,"Pan-Asian,Chinese"
Bombay Brasserie,"Adyar,Chennai",4.4,100,900.0,"North Indian,Biryani"
TCDS,"T Nagar,Chennai",4.0,20,900.0,"Desserts,Ice Cream"
Tea villa cafe,"T Nagar,Chennai",4.1,20,900.0,"Chinese,Continental"
Foxtrot,"Chukkuwala,Dehradun",4.0,100,900.0,"Chinese,Asian"
Cafeteria & Co.,"GTB Nagar,Delhi",4.1,100,900.0,"Italian,American"
Punjab Grill,"Khan Market,Delhi",4.1,20,900.0,"North Indian,Indian"
Punjab Grill,"Greater Kailash 2,Delhi",4.0,50,900.0,"North Indian,Indian"
Drums of heaven express,"Greater Kailash 2,Delhi",4.2,50,900.0,"Thai,Chinese"
Layla's Shawarma & Middle Eastern Kitchen,"Greater Kailash 2,Delhi",4.4,100,900.0,Middle Eastern
Motown - Detroit Style Pizza,"Greater Kailash 2,Delhi",4.5,50,900.0,Pizzas
Dhaba Estd 1986 Delhi,"Vasant Kunj,Delhi",3.9,20,900.0,"Biryani,Hyderabadi"
Punjab Grill,"Vasant Kunj,Delhi",4.2,100,900.0,"North Indian,Biryani"
"Oki Poki - Sushi, Dimsums & More","Vasant Kunj,Delhi",5.0,20,900.0,"Japanese,Sushi"
Chili's American Grill & Bar,"Vasant Kunj,Delhi",4.3,100,900.0,"American,Salads"
G2 Cafe,"Dilshad Gardens,Delhi",3.5,20,900.0,"Asian,Continental"
Maini's Green Leaf,"Dilshad Gardens,Delhi",3.7,50,900.0,"North Indian,Chinese"
Punjab Grill,"Connaught Place,Delhi",3.9,50,900.0,"North Indian,Indian"
Chili's American Grill & Bar,"Connaught Place,Delhi",4.4,100,900.0,"American,Salads"
